id,OtherGestures,Smile,Laugh,Scowl,otherEyebrowMovement,Frown,Raise,OtherEyeMovements,Close-R,X-Open,Close-BE,gazeInterlocutor,gazeDown,gazeUp,otherGaze,gazeSide,openMouth,closeMouth,lipsDown,lipsUp,lipsRetracted,lipsProtruded,SideTurn,downR,sideTilt,backHead,otherHeadM,sideTurnR,sideTiltR,waggle,forwardHead,downRHead,singleHand,bothHands,otherHandM,complexHandM,sidewaysHand,downHands,upHands,class,transcription,Pronunciation_posteriori,Gender,Mood_from_mva,Count of Syllables,Count of filler and pauses,Rate of speech - syb per sec,Speaking time secs w/o pauses,Duration time secs w pauses,Ratio speaking to duration,Fundamental frequency_f0 Hz,SD Fundamental frequency_f0 Hz,Median Fundamental frequency_f0 Hz,Minimum Fundamental frequency_f0 Hz,Maximum Fundamental frequency_f0 Hz,25th Quantile Fundamental frequency_f0 Hz,75th Quantile Fundamental frequency_f0 Hz
trial_lie_001.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,deceptive,No sir I did not. I absolutely did not. No sir I was not. No sir.,85.12,a female,Showing no emotion,52.0,9.0,3.0,11.6,17.0,0.7,165.04,59.17,155.2,73.0,395.0,118.0,197.0
trial_lie_002.mp4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,deceptive,"... and she approached me, and at that time that she had tripped over the rug and kind of bumped into me I was heading to the nursery, which is ammm ... I know you guys have all seen the layout, there's ahhh ... was a loveseat right there and a rocking chair right next to each other, and there's a little wall, and whenever she tripped over the rug she bumped into me and Grant approached her and grabbed her and kind of pulled her ... was pulling her back and just telling her to chill out, and she started fighting him, and whenever she did, that little wall right by the loveseat, she kicked it and whenever she did, they both went over the chair and landed on the floor, and I just went so ... I ran to the bedroom with Lily I didn't even stick around to see what happened, and when I got to the bedroom Little Grant was trying to come ... he was coming out of the door, and he asked me what that noise was and I told him that the chair fell and ... to come back into the bedroom, and ammm ... he asked where his daddy was and I told him he was picking up the chair.",100.0,a female,Showing no emotion,246.0,17.0,4.0,53.7,62.5,0.9,183.72,39.43,193.9,73.0,364.0,182.0,203.0
trial_lie_003.mp4,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,deceptive,"No sir I was not, not at all.",7.07,a Male,Reading,10.0,2.0,1.0,3.4,7.0,0.5,129.02,60.93,110.7,82.0,381.0,91.0,123.0
trial_lie_004.mp4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,deceptive,"He had told me that he had had a dream that, ammm ...he was in a forest and that he had killed Laura, and that if I didn't help him get rid of her, that he … that I was gonna be next.",89.86,a female,Showing no emotion,39.0,4.0,3.0,9.8,11.6,0.8,184.46,51.64,198.7,77.0,277.0,173.0,219.0
trial_lie_005.mp4,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,deceptive,"And he told me that, ammm … he was trying to figure some stuff out, and ammm … I asked him Like what? and he will … I mean I will never forget it, he was smoking a cigarette, and he was like really calm, and he looked at me and he said What would you say if I said … if I told you Laura was dead? And I was like, you know, I was like What? And … basically he told me that, ammm … the night that Laura had come over to the house, that she had died, and that whenever I left that he just panicked and freaked out, and I got … I started freaking out, and I was asking him why he didn't call the cops [stutters] … call for help like he told me he was going to, and he told me that, ammm … he got scared that he was a black man with a dead white woman and nobody was gonna believe him that it was an accident",100.0,a female,Showing no emotion,209.0,16.0,4.0,43.1,53.4,0.8,180.12,43.49,195.6,77.0,289.0,182.0,205.0
trial_lie_006.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,deceptive,"No, I didn't. The last time I saw her was whenever they fell, whenever I came out she was already in the bathroom. I never saw her ever. Whenever we got to the boat it was all covered up, honestly I didn't even know there was a middle seat until we saw the boat the other day.",100.0,a female,speaking passionately,68.0,3.0,4.0,11.9,18.2,0.7,241.55,55.41,248.3,84.0,395.0,227.0,271.0
trial_lie_007.mp4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,deceptive,"We had some drinks at the bar, maybe one ... two. Ammm … I got onto the dance floor myself as I explained, ammm … I have been a trained dancer for some time, going to be able to dance freely is like a ... release, I'm very much in my own space when I do that and so I got up, and I was dancing alone on the dance floor. He came to join the dance floor, ahhh … did not join me necessarily on the dance floor initially, and he was also ... dancing, and then ammm ... there was a time where he reached out his hand and ... as … the defense has said twirled me around and ammm ... that's it.",100.0,a female,Showing no emotion,175.0,15.0,4.0,37.7,46.8,0.8,177.06,38.76,184.7,77.0,278.0,175.0,198.0
trial_lie_008.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,deceptive,"Ahhh ... I didn't go to the dance club as a drinking activity, and nor did I know at the time that it was a dance club until we got in there.",,Try again the sound of the audio was not clear,,,,,,,,,,,,,,
trial_lie_009.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,deceptive,"Ahhh ... When we got to the hotel, I remember, ammm …  sitting, er … sitting briefly on the balcony of my room, but then that was that there was no other additional time if that's what you're asking. Besides what I … just explained, no.",90.04,a Male,speaking passionately,67.0,5.0,3.0,15.8,20.6,0.8,162.77,48.7,184.4,81.0,271.0,106.0,196.0
trial_lie_010.mp4,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,deceptive,"I have no idea. Uh, I was at work so I was presumably doing work things.  I'm s-sure it was -- nope. I'm sure it was work related. There's ... it does seem coincidental but I'm sure that there was something else going on that I had to call him about. I talk to him frequently about work matters. There's ....",100.0,a Male,speaking passionately,103.0,6.0,4.0,20.6,29.2,0.7,160.16,41.68,181.1,78.0,306.0,127.0,190.0
trial_lie_011.mp4,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,deceptive,"Uh, I had just been on a cruise with my husband. We hadn't been on a vacation for years, alone, without the children. (pause, clears throat) I had a project I needed to complete, and Hemy insisted it had to be completed that ... day, and so the only way in which to -- and it required his input, and the only way in which to finish it was to work on it that night",79.93,a female,Reading,89.0,9.0,3.0,16.1,33.7,0.5,200.59,40.27,198.3,81.0,382.0,186.0,220.0
trial_lie_012.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,deceptive,"I don't know, maybe ten ... nine thirty, ten, something along those lines. Might even have been slightly later.",100.0,a female,Showing no emotion,31.0,1.0,4.0,6.1,7.8,0.8,174.98,42.41,191.8,79.0,222.0,174.0,205.0
trial_lie_013.mp4,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,deceptive,"Ah, I don't remember but evidently I, I -- I tried to call Hemy, probably to tell him that I had left the office, and that I w -- that something had happened. Which seemed -- was a very normal thing for me to have done. Was to tell my boss that I had left the office and something had happened to my husband.",100.0,a female,Showing no emotion,75.0,5.0,4.0,15.3,19.0,0.8,176.72,37.54,186.2,79.0,261.0,169.0,201.0
trial_lie_014.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,deceptive,"I think when he was choking me, my hands were free because he was over my torso, my arms were free, so I may have, tried to push him off, or , I didn’t want to injure him, I just wanted him to get off of me, but that was very quick and it didn’t last long.",94.97,a female,Reading,65.0,1.0,5.0,12.0,13.8,0.9,208.0,36.74,211.4,81.0,383.0,194.0,226.0
trial_lie_015.mp4,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,deceptive,"Right after the shot occurred, um , we had fallen over in the bathroom again toward the  sink, the sink and garbage can area, kind of in the corner, and so he didn't chase me in that  moment, but that's where we struggled on the floor. And again as soon as I broke away, he  said \F'ing kill you Bitch\"" I don't remember a lot after that, so whether he chased me or not, I  couldn't say""",89.93,a female,Showing no emotion,106.0,16.0,3.0,20.4,34.4,0.6,187.87,33.92,186.0,74.0,363.0,178.0,198.0
trial_lie_016.mp4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,deceptive,"Well, what I do recall is when I filled the gas cans rather then have just a loose gas hose  somewhere I didn't have anywhere to put it, um so, I hung it up and when I  hung it up that ends the transaction, so that's probably why, I could have, you know mean, if I could of put them back in the trunk or whatever, then started the car or vise versa , um at one point, I didn't want to  ground, so I hung it up, and that ended the transaction, so that’s probably why there is more than one and maybe I was topping of the gas tank for another. ",94.96,a female,Showing no emotion,140.0,13.0,4.0,26.5,37.0,0.7,184.18,31.86,180.5,75.0,378.0,173.0,193.0
trial_lie_017.mp4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,deceptive,"Again, it took, it took a long time, it took a long time for me to get to this point, I never  wanted to admit to this and I'd written out all of my suicide letters, I sent my note, I sent them  all in an envelope to my grandmother, do not open until Nov 10th 2008, I was hoping to be  dead by then, giving myself a little time, to get my affairs in order, that date rolled by and then  more time rolled by and I was still here, so with the evolution of just time and the years that  went by, it was a gradual process, I began to feel not right about keeping it in instead.",100.0,a female,Showing no emotion,166.0,13.0,4.0,32.1,43.9,0.7,180.08,30.67,179.9,78.0,384.0,173.0,191.0
trial_lie_018.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,deceptive,"My attempt to talk to them was to present a better image of our relationship, and to downplay the negative aspects of it, like \it's not really a big deal\"" \""oh, it wasn’t that bad\"" that kinda thing, like \""oh, yeah, I knew that he did that, but that wasn't a big deal\"" um, even our arguments, oh, sure it was rocky, there was turmoil, but we were friends, so my attempt was more to present a good image of Travis, and a good image of myself and that our relationship had it's ups and downs, but we were still um, on good terms.""",100.0,a female,Showing no emotion,146.0,10.0,4.0,27.0,34.5,0.8,184.31,33.33,184.4,80.0,387.0,175.0,199.0
trial_lie_019.mp4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,deceptive,"Well, again I can't, it happened so fast I did initially think Run, so I went down the hallway and then right as I got to the hallway, with the doors being shut, it just seemed like more of an obstacle it would give him more time to catch up, to open the door this way and run around it and out, when this door was an equal distance and open. I could run that way and into it. So my thought initially was to run out this door, and then around and out, but I was doing something just to create more distance, because last time I had run that same route and I was not successful in running out of the room.",94.99,a female,Showing no emotion,148.0,13.0,4.0,27.9,36.8,0.8,181.32,33.38,178.2,72.0,385.0,171.0,192.0
trial_lie_020.mp4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,deceptive,"When I sort a came out of the fog, I realized \oh, crap\"" something bad had happened and I was scared to call any authority at that point.""",90.04,a female,Showing no emotion,35.0,4.0,3.0,6.7,11.2,0.6,188.98,24.86,187.9,84.0,303.0,175.0,201.0
trial_lie_021.mp4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,deceptive,"I do recall him screaming and yelling at me, um , so I don't know if that constitutes as talking, but he was saying words, the other things, I don't recall as far as being on all words, I don't.",69.67,a female,Showing no emotion,47.0,7.0,3.0,10.0,18.2,0.5,189.04,26.52,190.8,81.0,250.0,179.0,202.0
trial_lie_022.mp4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,deceptive,"Well, I think that I have a good memory June 4th is an anomaly for me.  It's like I said yesterday, it's in a class of it's own. And I can't explain why, what kind of state of mind I was in, um it was, most of the day was an entire blank, and little pieces have come back, but not very many, So I can't explain that day alone but if you were, to put that day over here and over here all the other days of   memory issues that are any different from any average person.",95.1,a female,Showing no emotion,151.0,15.0,4.0,27.3,41.5,0.7,188.38,33.32,182.8,70.0,375.0,174.0,202.0
trial_lie_023.mp4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,deceptive,"Lying is isn't something typically I just do. I'm not going to say I've never told a lie in my life before this ... incident, but, the lies I have told in this case are can be tied directly back to either protecting Travis' reputation or my involvement in his death, in any way. Because I was very ashamed of the death, and also I wanted to edify Travis in a good way, I didn't want to de- edify him or say hateful things about him, especially now that he had passed away and also I didn't want that to be construed as ... motive, for example if he was violent with me.",95.03,a female,Showing no emotion,163.0,17.0,4.0,30.6,43.3,0.7,175.72,35.97,177.4,71.0,392.0,168.0,187.0
trial_lie_024.mp4,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,deceptive,"So I was experiencing disorientation, I wasn’t thinking gosh, Travis’ just choked me out, I was ...  actually a thought just sort of wandered through my mind  Wheres Nepolian, in my head  so that was my thought and it didn’t really have any relation to the event, that was just a thought. I was kinda getting my bearings, um, so there is, it’s not completely clear, I just remember he had his hands around my neck, and he was banging my head on the carpet. I tried to push him off, and then it was, and then I blacked out. Really shortly after that.",100.0,a female,Showing no emotion,104.0,5.0,4.0,21.9,24.6,0.9,191.76,41.13,186.0,77.0,389.0,176.0,199.0
